disease	RR	pubmed_link	rank	snps
Obesity	1.0	http://www.ncbi.nlm.nih.gov/pubmed/23563607	m***	rs988712,rs2116830,rs10968576,rs17024258,rs1514177,rs13078807,rs3101336,rs8028313,rs2531995,rs10938397,rs17381664,rs9816226,rs2207139,rs10182181,rs6731302,rs2307111,rs12446632,rs7498665,rs7141420,rs1421085,rs633715,rs11639988,rs1516725,rs1514174,rs7503807,rs538656,rs2206277,rs7185735,rs10875976,rs4735692,rs11152213,rs2030323,rs7989336,rs12446554,rs2112347,rs10871777,rs9568867,rs6711012,rs13041126,rs11042023,rs887912,rs10189761,rs2370983,rs8043757,rs7531118,rs7138803,rs13130484,rs1800437,rs1558902,rs10423928,rs2568958,rs7184597
Suicidal ideation	0.5	http://www.ncbi.nlm.nih.gov/pubmed/20877300	**	rs11143230
Ovarian cancer	0.9	http://www.ncbi.nlm.nih.gov/pubmed/23535730	m**	rs3814113,rs757210,rs1243180
Amyotrophic lateral sclerosis	0.718848	http://www.ncbi.nlm.nih.gov/pubmed/20801718	***	rs12608932,rs8056742,rs9533799,rs7607369,rs11082762,rs2303565,rs1971791,rs4917300,rs7477,rs3849942,rs13048019,rs3849942
Dupuytren's disease	0.7371	http://www.ncbi.nlm.nih.gov/pubmed/21732829	***	rs11672517,rs7524102,rs2179367,rs6519955,rs16879765,rs8124695
Behcet's disease	1.764	http://www.ncbi.nlm.nih.gov/pubmed/23291587	***	rs2617170,rs17482078,rs7574070,rs7616215
Hypothyroidism	0.746959457376	http://www.ncbi.nlm.nih.gov/pubmed/22493691	**	rs4804416,rs231779,rs4915077,rs9901756,rs948426,rs10519980,rs4704397,rs6679677,rs1051920,rs925489,rs10162002,rs229526,rs3184504,rs655167,rs2517532,rs3748682,rs10961534,rs10248351
Alopecia areata	1.1404008	http://www.ncbi.nlm.nih.gov/pubmed/20596022	***	rs1024161,rs10760706,rs3118470,rs7682241,rs1701704,rs9275572,rs9479482
Wilms tumor	0.72	http://www.ncbi.nlm.nih.gov/pubmed/22544364	***	rs2283873,rs807624,rs790356,rs2495478,rs1027643,rs3755132
Restless legs syndrome	0.9072	http://www.ncbi.nlm.nih.gov/pubmed/21779176	***	rs6747972,rs12593813,rs9357271,rs1975197,rs2300478,rs3104767
Major depressive disorder	1.3068	http://www.ncbi.nlm.nih.gov/pubmed/23377640	m**	rs12446956,rs11579964,rs12457996,rs7647854,rs7713917,rs10520045,rs12500612,rs1706631,rs2546057,rs8012941,rs2377360,rs166040,rs11055387,rs974379,rs6799788,rs1525293,rs12552369,rs9466930,rs2462686,rs4585146,rs17710780,rs364477,rs2125000,rs12210761,rs1457614,rs264272,rs12410462,rs9601248,rs1822818,rs7174755,rs17634917,rs7742824,rs10174573,rs10065906,rs12513663
Acute lymphoblastic leukemia (childhood)	0.66	http://www.ncbi.nlm.nih.gov/pubmed/19684604	**	rs10821936,rs6964969,rs4982731,rs1881797,rs2089222,rs9290663,rs10849033,rs12621643,rs2191566,rs7554607,rs10821936,rs6428370,rs563507,rs10873876,rs1879352,rs11978267,rs11155133,rs7089424,rs4132601,rs2239633
Formal thought disorder in schizophrenia	0.9	http://www.ncbi.nlm.nih.gov/pubmed/22648509	m**	rs11224899,rs10263087
Hodgkin's lymphoma	1.4256	http://www.ncbi.nlm.nih.gov/pubmed/21037568	**	rs6903608,rs2019960,rs501764,rs2608053,rs1432295
Multiple sclerosis	2.0	http://www.ncbi.nlm.nih.gov/pubmed/20453840	***	rs3135338,rs744166,rs17149161,rs7789940,rs3129934,rs703842,rs8049603,rs6074022,rs9271366,rs1335532,rs6984045,rs6604026,rs2104286,rs2293152,rs3129889,rs10411936,rs9596270,rs6074022,rs2546890,rs2300747,rs2150702,rs2681424,rs7191700,rs1250542,rs170934,rs10866713,rs6718520,rs12722489,rs1738074,rs7592330,rs8070463,rs9657904,rs2040406
Fuchs's corneal dystrophy	0.32	http://www.ncbi.nlm.nih.gov/pubmed/20825314	**	rs613872,rs10490775
Eating disorders	1.17128	http://www.ncbi.nlm.nih.gov/pubmed/22911880	**	rs10519201,rs7690467,rs7624327,rs218361,rs1557305,rs1898111
Alzheimer's disease	1.7	http://www.ncbi.nlm.nih.gov/pubmed/20460622	***	rs2075650
Stroke (ischemic)	0.9	http://www.ncbi.nlm.nih.gov/pubmed/23041239	m**	rs556621,rs2238151,rs6843082,rs2107595,rs13407662,rs16851055,rs879324
Neuroblastoma	0.84	http://www.ncbi.nlm.nih.gov/pubmed/22941191	***	rs110419,rs3768716,rs4712653,rs11037575,rs17065417,rs9295536,rs110419,rs7587476,rs4336470
Atrial fibrillation	1.5246	http://www.ncbi.nlm.nih.gov/pubmed/20173747	***	rs10821415,rs3903239,rs1152591,rs6817105,rs6666258,rs7164883,rs3807989,rs10824026,rs2040862,rs2106261,rs6843082,rs13376333
Hypertriglyceridemia	0.6	http://www.ncbi.nlm.nih.gov/pubmed/20657596	***	rs964184,rs4635554,rs1260326
Paclitaxel-induced neuropathy	0.1833826176	http://www.ncbi.nlm.nih.gov/pubmed/23776197	**	rs275456,rs1165472,rs12699683,rs3181157,rs10512385,rs17348202,rs10065203,rs2947253,rs4141404,rs10090117
Response to metformin	1.0	http://www.ncbi.nlm.nih.gov/pubmed/21186350	***	rs11212617
Endometrial cancer	1.2	http://www.ncbi.nlm.nih.gov/pubmed/21499250	***	rs4430796
Age-related macular degeneration (GA)	1.5	http://www.ncbi.nlm.nih.gov/pubmed/22705344	***	rs10033900,rs10490924,rs2230199
Educational attainment	1.0	http://www.ncbi.nlm.nih.gov/pubmed/23722424	**	rs4851266,rs3227,rs12640626,rs4073894
Inflammatory bowel disease (early onset)	1.2	http://www.ncbi.nlm.nih.gov/pubmed/19915574	***	rs8049439
Barrett's esophagus	1.0	http://www.ncbi.nlm.nih.gov/pubmed/22961001	***	rs9257809,rs9936833
Endometriosis	1.4289858	http://www.ncbi.nlm.nih.gov/pubmed/23104006	m***	rs10431397,rs7816936,rs2235529,rs1268843,rs6757804,rs2270221,rs10508881,rs12449465,rs11193561,rs6907340,rs3596,rs10975519,rs2738113,rs12700667,rs12024204,rs7739264,rs1537377,rs4141819,rs7521902,rs13394619,rs10859871
Male-pattern baldness	0.7	http://www.ncbi.nlm.nih.gov/pubmed/22693459	***	rs12373124,rs6945541,rs2073963,rs10502861,rs9287638,rs6047844,rs12565727
Urate levels	0.96	http://www.ncbi.nlm.nih.gov/pubmed/20884846	**	rs2199936,rs13129697,rs2078267
Age-related macular degeneration (CNV)	0.84	http://www.ncbi.nlm.nih.gov/pubmed/22705344	***	rs10490924,rs10033900,rs2230199
Aging (time to event)	1.1	http://www.ncbi.nlm.nih.gov/pubmed/21782286	**	rs10202497,rs10412199,rs4764043,rs2367725,rs16852912,rs3112530,rs11162963,rs8001976
Emphysema-related traits	0.4224	http://www.ncbi.nlm.nih.gov/pubmed/20709820	**	rs10844154,rs1012036,rs641525,rs2999399
Longevity	1.1	http://www.ncbi.nlm.nih.gov/pubmed/20304771	m**	rs9664222
Celiac disease	0.118105253847	http://www.ncbi.nlm.nih.gov/pubmed/20190752	***	rs6806528,rs2187668,rs802734,rs10936599,rs2327832,rs10806425,rs6974491,rs12727642,rs13098911,rs11712165,rs13010713,rs4675374,rs13314993,rs4899260,rs1464510,rs2762051,rs13003464,rs11221332,rs1738074,rs1033180,rs1893217,rs2298428,rs917997,rs17810546,rs859637,rs653178
Eye color	0.13	http://www.ncbi.nlm.nih.gov/pubmed/20585627	***	rs12913832,rs1847134,rs12896399
Hypertension	1.1	http://www.ncbi.nlm.nih.gov/pubmed/21082022	***	rs13333226
Arthritis (juvenile idiopathic)	1.1	http://www.ncbi.nlm.nih.gov/pubmed/22354554	**	rs6479891,rs12719740,rs4688011,rs12411988
Pancreatic cancer	0.56	http://www.ncbi.nlm.nih.gov/pubmed/19648918	**	rs12456874,rs10500715,rs1000589,rs9783347,rs7853844,rs10788473,rs9874556,rs505922
Systemic sclerosis	1.2	http://www.ncbi.nlm.nih.gov/pubmed/21750679	**	rs3821236,rs2233287,rs3130573,rs7574865,rs6457617,rs2056626,rs10488631,rs13021401
Venous thromboembolism	0.672	http://www.ncbi.nlm.nih.gov/pubmed/21980494	***	rs6025,rs495828,rs2519093,rs16861990,rs687621,rs4979078,rs4253399,rs6536024,rs7164569,rs6427196,rs7659024,rs3756008,rs505922,rs1018827
Melanoma	0.648	http://www.ncbi.nlm.nih.gov/pubmed/21983787	***	rs7023329,rs258322,rs4785763,rs1393350,rs7412746,rs3219090,rs16953002,rs401681,rs258322,rs13016963,rs228437,rs1393350
Migraine	1.1979	http://www.ncbi.nlm.nih.gov/pubmed/21448238	m**	rs9490306,rs6998277,rs1890566,rs10511112,rs1890185,rs705162,rs2274316,rs6479874,rs6583954,rs12006166,rs11759769,rs12153243,rs11017221,rs10456100,rs7916968,rs2506155,rs577969,rs11594111,rs7068341,rs11000137,rs9649465,rs17303101,rs3923518,rs13196614,rs1861960,rs2447820,rs11750092,rs7900239,rs13263568,rs11816922,rs12134493,rs10906466,rs543844,rs4880487,rs4379368,rs12681963,rs4984499,rs827382,rs12355831,rs2651899,rs16904191,rs11172113,rs2651899,rs10166942,rs6478241,rs1712517,rs11757063,rs6598163,rs3790455,rs7640543,rs1835740,rs11636768,rs140174
Bipolar disorder	1.0	http://www.ncbi.nlm.nih.gov/pubmed/21353194	***	rs2111504,rs1064395
Thyroid volume	1.2	http://www.ncbi.nlm.nih.gov/pubmed/21565293	***	rs12045440,rs4338740,rs3813579,rs10917468
Age-related macular degeneration	2.1375	http://www.ncbi.nlm.nih.gov/pubmed/15761122	**	rs3764261,rs4711751,rs10490924,rs10033900,rs1061170,rs2230199,rs2075650,rs10801555,rs10490924,rs2071277,rs12153855,rs1329424,rs3764261,rs429608,rs493258,rs10737680,rs2285714,rs2230199,rs3793917,rs493258,rs11755724,rs13095226,rs2075650,rs1061147,rs4714888,rs7750345,rs6480975,rs1329424,rs10830228,rs6721654,rs17586843,rs1355023,rs10406174,rs1864163,rs6795735,rs8135665,rs429608,rs4698775,rs10490924,rs13278062,rs3812111,rs10737680,rs943080,rs920915,rs334353,rs2230199,rs8017304,rs3130783,rs4420638,rs13081855,rs10490924,rs380390
Chronic Hepatitis C infection	0.6	http://www.ncbi.nlm.nih.gov/pubmed/20060832	***	rs8099917
Carotid intima media thickness	1.0	http://www.ncbi.nlm.nih.gov/pubmed/21909108	m**	rs445925
Chronic obstructive pulmonary disease	1.0	http://www.ncbi.nlm.nih.gov/pubmed/21685187	**	rs9394152,rs73717741,rs56238310,rs10928927
AIDS	1.7611776	http://www.ncbi.nlm.nih.gov/pubmed/19754311	**	rs1020064,rs1556032,rs10800098,rs1360517,rs4118325,rs3108919,rs1522232
Mortality among heart failure patients	1.36323	http://www.ncbi.nlm.nih.gov/pubmed/20400778	**	rs12733856,rs4979906,rs7965445,rs7120489,rs4528684,rs8017423,rs17159640,rs2125623,rs12638540,rs6868223
Upper aerodigestive tract cancers	0.99	http://www.ncbi.nlm.nih.gov/pubmed/21437268	**	rs1494961,rs4767364
Pain	1.0	http://www.ncbi.nlm.nih.gov/pubmed/22956598	m**	rs13361160
Rheumatoid arthritis	0.648073091285	http://www.ncbi.nlm.nih.gov/pubmed/17982456	***	rs11203203,rs13315591,rs3184504,rs10865035,rs17374222,rs7155603,rs6920220,rs3093023,rs10488631,rs874040,rs2476601,rs2872507,rs3087243,rs13031237,rs3761847,rs934734,rs840016,rs7574865,rs6859219,rs3890745,rs706778,rs951005,rs13119723,rs4750316,rs12131057,rs4810485,rs6910071,rs26232,rs11676922,rs10499194
Ankylosing spondylitis	0.8424	http://www.ncbi.nlm.nih.gov/pubmed/20062062	**	rs27434,rs10865331,rs2310173,rs1018326,rs1326986
Sclerosing cholangitis and ulcerative colitis (combined)	1.44	http://www.ncbi.nlm.nih.gov/pubmed/22821403	**	rs4676410,rs1452787
Osteoarthritis	1.0	http://www.ncbi.nlm.nih.gov/pubmed/22763110	**	rs4730250,rs3815148,rs11177,rs10948172,rs8044769
Abdominal aortic aneurysm	0.9	http://www.ncbi.nlm.nih.gov/pubmed/20622881	**	rs7025486,rs2383207
Non-alcoholic fatty liver disease histology (other)	1.0	http://www.ncbi.nlm.nih.gov/pubmed/23213074	**	rs12743824,rs222054
Sudden cardiac arrest	1.0	http://www.ncbi.nlm.nih.gov/pubmed/21738491	***	rs4665058
IgE grass sensitization	1.584	http://www.ncbi.nlm.nih.gov/pubmed/22036096	m**	rs631208,rs1325195,rs2069772,rs7617456,rs2155219,rs6554809,rs7775228,rs17513503
Follicular lymphoma	0.936	http://www.ncbi.nlm.nih.gov/pubmed/19620980	***	rs10484561,rs6457327,rs735665,rs2647012,rs6457327
Testicular germ cell cancer	0.72	http://www.ncbi.nlm.nih.gov/pubmed/20543847	***	rs4635969,rs2736100,rs2900333,rs755383
Waist-hip ratio	1.1	http://www.ncbi.nlm.nih.gov/pubmed/23563607	m***	rs2820464,rs7745274,rs13389219,rs1294421
Crohn's disease	1.28089751972	http://www.ncbi.nlm.nih.gov/pubmed/23128233	***	rs1456896,rs17309827,rs102275,rs1998598,rs6738825,rs1819658,rs2058660,rs12521868,rs10758669,rs2413583,rs415890,rs713875,rs11167764,rs7714584,rs13073817,rs1799964,rs4871611,rs10495903,rs7554511,rs359457,rs2549794,rs281379,rs212388,rs7702331,rs8005161,rs4656940,rs4902642,rs3197999,rs1847472,rs10181042,rs3091315,rs6908425,rs2476601,rs10761659,rs12722489,rs12242110,rs2797685,rs17293632,rs11209026,rs736289,rs1893217,rs1736020,rs4077515,rs13428812,rs151181,rs694739,rs2076756,rs11871801,rs4409764,rs740495,rs2062305,rs11564258,rs2872507,rs12720356,rs6568421,rs11742570,rs3792109,rs181359,rs7927997,rs7517810,rs780093,rs6651252,rs4809330,rs1250550,rs2838519,rs3810936,rs3024505,rs6556412,rs3764147,rs7423615,rs2076756,rs11209026,rs7705924,rs11229030,rs3091316,rs9292777,rs3091338,rs1906493,rs13003464,rs11574514,rs9258260,rs2241880,rs10734105,rs6545946,rs7076156,rs11190141,rs12677663,rs4820425,rs9348876,rs4802307,rs2945412,rs516246,rs13204742,rs2284553,rs1728918,rs2024092,rs212388,rs3897478,rs9264942,rs10865331,rs12994997,rs6651252,rs7702331,rs12663356,rs16967103,rs3764147,rs17391694,rs6716753,rs10486483,rs7015630,rs6837335,rs9286879,rs10065637,rs13126505,rs9491697,rs17695092,rs864745,rs6679677
Smoking behavior	1.0	http://www.ncbi.nlm.nih.gov/pubmed/20418890	**	rs6265,rs3025343
Glaucoma	0.63	http://www.ncbi.nlm.nih.gov/pubmed/21532571	***	rs4977756,rs4656461
Eosinophilic esophagitis (pediatric)	0.93063168	http://www.ncbi.nlm.nih.gov/pubmed/20208534	**	rs2224865,rs1939875,rs6501384,rs13278732,rs1032757,rs11989782,rs167769,rs7236477
Prostate cancer	0.43659	http://www.ncbi.nlm.nih.gov/pubmed/23535732	***	rs6983561,rs12653946,rs1512268,rs10090154,rs13254738,rs2292884,rs902774,rs12155172,rs12500426,rs1512268,rs1465618,rs12621278,rs7679673,rs7127900,rs17021918,rs5759167,rs10934853,rs8102476,rs4430796,rs16902094,rs11228565,rs445114,rs16901979,rs1447295,rs10187424,rs130067,rs10875943,rs7584330,rs2121875,rs10936632,rs6763931,rs2242652,rs2273669,rs7241993,rs1894292,rs1218582,rs7141529,rs11902236,rs12155172,rs11135910,rs6062509,rs7611694,rs1933488,rs11568818,rs11650494,rs3771570,rs684232,rs3850699,rs8008270,rs2427345,rs1270884,rs6869841,rs4245739,rs3096702
Epilepsy (generalized)	0.693	http://www.ncbi.nlm.nih.gov/pubmed/22949513	**	rs10496964,rs72823592,rs11890028,rs2717068,rs13026414,rs39861,rs10030601,rs12059546,rs12720541,rs771390
Paget's disease	1.3728	http://www.ncbi.nlm.nih.gov/pubmed/20436471	***	rs10494112,rs1561570,rs5742915,rs10498635,rs2458413,rs4294134,rs1341239,rs3018362,rs2957128,rs3018362
Tourette syndrome	0.862488	http://www.ncbi.nlm.nih.gov/pubmed/22889924	**	rs7868992,rs6539267,rs621942,rs9393366,rs769111,rs10990268
Testicular germ cell tumor	1.40440724424	http://www.ncbi.nlm.nih.gov/pubmed/23666239	m**	rs4635969,rs8046148,rs9905704,rs2720460,rs2839186,rs2900333,rs3790672,rs7010162,rs2072499,rs10510452,rs995030,rs755383,rs4624820,rs210138,rs3805663,rs9905704,rs12699477,rs4888262,rs17021463
Type 2 diabetes and other traits	0.75816	http://www.ncbi.nlm.nih.gov/pubmed/19734900	***	rs13266634,rs4712523,rs4689388,rs12518099,rs2943641,rs7903146
Obesity (extreme)	0.79996750848	http://www.ncbi.nlm.nih.gov/pubmed/19553259	**	rs2274459,rs9941349,rs999943,rs10433903,rs7474896,rs10999409,rs12635698,rs6726292,rs12295638,rs1435703,rs7603514,rs6110577,rs374748
Height	2.04010374498	http://www.ncbi.nlm.nih.gov/pubmed/23563607	m***	rs1878528,rs7534091,rs1415701,rs2280470,rs10843164,rs11259933,rs11880992,rs3103267,rs526896,rs2079795,rs10838708,rs11082304,rs12075079,rs6750795,rs224333,rs2362965,rs13428823,rs10058074,rs4337252,rs718444,rs2941551,rs10948222,rs310405,rs2744971,rs4075154,rs11144688,rs6845078,rs2093210,rs6141600,rs9292468,rs11205303,rs7552186,rs17511102,rs2025151,rs3764419,rs2322633,rs2284746,rs7689420,rs1594829,rs13210323,rs4965593,rs10748128,rs1351394,rs6450922,rs11895026,rs584438,rs42235,rs1991431,rs572169,rs10838798,rs7466269,rs9832740,rs7741741,rs1885486,rs9285425,rs2982712,rs9967417,rs3118906,rs9596219,rs3791679,rs1545552,rs2564921,rs798554,rs6957923,rs6662509,rs780151,rs2844479,rs9391253,rs2856321,rs153750,rs806794,rs2247056,rs1759645,rs1029534,rs10492321,rs3814333,rs11209718,rs6855629,rs10231759,rs1490384,rs4535251,rs8114671,rs1950500,rs4953076,rs2145270,rs1074683
Schizophrenia	1.1	http://www.ncbi.nlm.nih.gov/pubmed/23894747	**	rs17662626,rs17512836,rs1625579,rs12966547,rs548181,rs2021722,rs11191580,rs7914558,rs10503253,rs9272219,rs13194053,rs3131296,rs12807809,rs6932590,rs9960767,rs2523722,rs9611198,rs589249,rs12611334,rs1046089,rs16897515,rs7897654,rs12140439
Intracranial aneurysm	1.3068	http://www.ncbi.nlm.nih.gov/pubmed/20364137	***	rs1333040,rs10958409,rs9298506,rs700651,rs6475606,rs12413409,rs9315204,rs11661542,rs9298506,rs1504749,rs1333040
Periodontitis	1.7	http://www.ncbi.nlm.nih.gov/pubmed/19897590	***	rs1537415
Vitiligo	2.4149664	http://www.ncbi.nlm.nih.gov/pubmed/22561518	**	rs11203203,rs1393350,rs3806156,rs8192917,rs229527,rs4908760,rs2476601,rs706779,rs6904029,rs1464510,rs4822024,rs6510827,rs2456973,rs1129038,rs59374417,rs4766578,rs3814231,rs9926296,rs4409785,rs10768122,rs16872571,rs853308,rs2111485,rs3757247
Systemic lupus erythematosus	0.341822354227	http://www.ncbi.nlm.nih.gov/pubmed/21408207	***	rs1150754,rs9888739,rs2647012,rs5754217,rs2301271,rs6049839,rs3130320,rs7574865,rs2669010,rs4956211,rs2187668,rs10488631,rs2736340,rs12531711
Chronic kidney disease	1.1	http://www.ncbi.nlm.nih.gov/pubmed/20383146	***	rs16864170,rs7805747
Cardiac repolarization	0.8	http://www.ncbi.nlm.nih.gov/pubmed/22683750	m**	rs11653989,rs17029069
Periodontal microbiota	1.69344	http://www.ncbi.nlm.nih.gov/pubmed/22699663	**	rs12032672,rs1011108,rs9287989,rs10010758,rs1932040,rs1360573,rs11621969,rs9942773,rs11800854,rs16924631,rs1616122,rs10760187,rs6885116,rs1970525,rs10043775
Narcolepsy	0.9	http://www.ncbi.nlm.nih.gov/pubmed/19412176	***	rs1154155,rs2858884,rs1154155
Thyroid cancer	1.4	http://www.ncbi.nlm.nih.gov/pubmed/22267200	***	rs2439302,rs966423
Suicide attempts in bipolar disorder	0.8	http://www.ncbi.nlm.nih.gov/pubmed/21423239	**	rs7296262,rs300774
Breast cancer	1.4289858	http://www.ncbi.nlm.nih.gov/pubmed/21424380	**	rs889312,rs13387042,rs4973768,rs704010,rs2981579,rs1011970,rs3803662,rs2380205,rs10995190,rs909116,rs1562430,rs614367,rs2180341,rs13387042,rs3112612,rs10510102,rs4973768,rs4415084,rs865686,rs1562430,rs8170,rs1078806,rs1219648,rs7716600,rs3803662,rs2284378,rs17530068,rs2046210,rs17356907,rs10771399,rs616488,rs17817449,rs8170,rs1432679,rs3803662,rs17530068,rs10995190,rs10069690,rs6001930,rs10069690,rs527616,rs1011970,rs17356907,rs9693444,rs7904519,rs7072776,rs16857609,rs2016394,rs2236007,rs10472076,rs3803662,rs6762644,rs865686,rs12422552,rs11249433,rs1550623,rs13387042,rs132390,rs12493607,rs616488,rs11199914,rs13329835,rs11814448,rs11242675,rs9790517,rs10771399,rs2588809,rs999737,rs10069690,rs614367,rs11780156,rs6001930,rs2823093,rs11552449,rs2981579,rs941764,rs6504950,rs6472903,rs4973768,rs10759243,rs13281615,rs1292011,rs17530068,rs889312,rs3760982,rs204247,rs704010,rs720475,rs4849887,rs3903072,rs4808801,rs11820646,rs1432679,rs1436904,rs17817449,rs6828523,rs3817198,rs10941679,rs10995190,rs11571833,rs1092913,rs10411161
HIV-1 progression	1.0	http://www.ncbi.nlm.nih.gov/pubmed/20064070	**	rs17762192
Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	0.624	http://www.ncbi.nlm.nih.gov/pubmed/21801394	**	rs2844665,rs9469003,rs3130501,rs3815087
Common traits (Other)	0.91	http://www.ncbi.nlm.nih.gov/pubmed/20585627	***	rs10427255,rs4481887
Chronic kidney disease and serum creatinine levels	0.99	http://www.ncbi.nlm.nih.gov/pubmed/20686651	**	rs4293393,rs9310709
Age-related macular degeneration (CNV vs. GA)	0.7	http://www.ncbi.nlm.nih.gov/pubmed/22705344	***	rs10490924
Glaucoma (primary open-angle)	0.9	http://www.ncbi.nlm.nih.gov/pubmed/20835238	***	rs4236601
Kawasaki disease	1.0	http://www.ncbi.nlm.nih.gov/pubmed/22081228	***	rs1801274
