disease	RR	pubmed_link	rank	snps
Metabolic syndrome	0.8	http://www.ncbi.nlm.nih.gov/pubmed/20694148	**	rs7903146
Myopia (pathological)	0.702	http://www.ncbi.nlm.nih.gov/pubmed/23406873	m**	rs7839488,rs2730260,rs248471
Cleft lip	0.8	http://www.ncbi.nlm.nih.gov/pubmed/20436469	***	rs987525
Nonalcoholic fatty liver disease	0.22638	http://www.ncbi.nlm.nih.gov/pubmed/22719876	**	rs1390096,rs738409,rs11206226,rs2143571,rs2073080
Inflammatory bowel disease	0.2	http://www.ncbi.nlm.nih.gov/pubmed/21699788	***	rs2006996,rs9271366
Leprosy	0.729	http://www.ncbi.nlm.nih.gov/pubmed/22019778	***	rs538147,rs16948876,rs2275606,rs3762318
Hepatitis B	0.048	http://www.ncbi.nlm.nih.gov/pubmed/21750111	***	rs7453920,rs3077,rs2856718,rs9277535
Pancreatic cancer	0.8424	http://www.ncbi.nlm.nih.gov/pubmed/22158540	***	rs12413624,rs2689154,rs9573163,rs5768709
Lung adenocarcinoma	0.6336	http://www.ncbi.nlm.nih.gov/pubmed/22797724	***	rs7216064,rs3817963,rs2853677,rs10937405
Methamphetamine dependence	0.6	http://www.ncbi.nlm.nih.gov/pubmed/23594818	**	rs4427170
Lung cancer	0.684288	http://www.ncbi.nlm.nih.gov/pubmed/23143601	***	rs7216064,rs2736100,rs4488809,rs7086803,rs10197940,rs9387478
Graves' disease	1.53	http://www.ncbi.nlm.nih.gov/pubmed/23612905	***	rs2294025,rs1265883
Primary biliary cirrhosis	0.42	http://www.ncbi.nlm.nih.gov/pubmed/23000144	***	rs4938534,rs4979462
Asthma (toluene diisocyanate-induced)	27.72	http://www.ncbi.nlm.nih.gov/pubmed/19187332	**	rs9319321,rs10762058,rs16937883
Prostate cancer	2.66	http://www.ncbi.nlm.nih.gov/pubmed/23023329	***	rs817826,rs103294
Amyotrophic lateral sclerosis	0.72	http://www.ncbi.nlm.nih.gov/pubmed/23624525	**	rs8141797,rs6703183
Hirschsprung's disease	0.5	http://www.ncbi.nlm.nih.gov/pubmed/19196962	**	rs16879552
Diabetes (gestational)	0.392	http://www.ncbi.nlm.nih.gov/pubmed/22233651	**	rs7754840,rs10830962,rs1470579
Keloid	4.557	http://www.ncbi.nlm.nih.gov/pubmed/20711176	***	rs1511412,rs873549,rs8032158
Rheumatoid arthritis	0.730360358323	http://www.ncbi.nlm.nih.gov/pubmed/22446963	m***	rs7404928,rs11900673,rs2867461,rs2847297,rs12529514,rs1957895,rs2280381,rs4937362,rs657075,rs3783637,rs10821944,rs3781913,rs2233434,rs6496667,rs2841277
Schizophrenia	0.9	http://www.ncbi.nlm.nih.gov/pubmed/22037555	**	rs10489202
Vascular dementia	2.2	http://www.ncbi.nlm.nih.gov/pubmed/23480133	***	rs290227
Intracranial aneurysm	0.5544	http://www.ncbi.nlm.nih.gov/pubmed/22286173	**	rs10757272,rs6842241,rs671,rs2280543
Esophageal cancer (squamous cell)	1.062882	http://www.ncbi.nlm.nih.gov/pubmed/22960999	***	rs2239815,rs17761864,rs6503659,rs2847281,rs4785204,rs4822983,rs2239612
Esophageal cancer	0.31177872	http://www.ncbi.nlm.nih.gov/pubmed/21642993	***	rs10052657,rs6772209,rs11066280,rs9868873,rs2274223,rs8030672,rs10058728,rs2074356,rs10484761,rs2014300,rs11066015
Idiopathic pulmonary fibrosis	0.5	http://www.ncbi.nlm.nih.gov/pubmed/18835860	**	rs2736100
Vitiligo	1.3	http://www.ncbi.nlm.nih.gov/pubmed/22951725	***	rs10876864,rs638893
IgA nephropathy	2.3351328	http://www.ncbi.nlm.nih.gov/pubmed/22197929	***	rs2738048,rs4227,rs2523946,rs1794275,rs3803800,rs12537,rs660895
Osteoporosis	1.6	http://www.ncbi.nlm.nih.gov/pubmed/23349225	m**	rs784288
